iter	Passed	Remaining
0	0	63
1	1	69
2	2	86
3	3	74
4	3	66
5	4	76
6	5	72
7	5	68
8	6	67
9	7	63
10	7	61
11	10	76
12	11	75
13	11	72
14	12	68
15	12	65
16	12	62
17	13	60
18	13	57
19	13	55
20	14	54
21	15	54
22	15	52
23	16	51
24	16	49
25	17	49
26	24	66
27	25	64
28	25	63
29	26	61
30	28	62
31	28	61
32	31	63
33	32	62
34	32	60
35	32	58
36	33	56
37	33	54
38	33	52
39	34	51
40	34	49
41	34	48
42	35	46
43	35	45
44	36	44
45	36	43
46	37	41
47	37	40
48	39	41
49	40	40
50	40	38
51	40	37
52	41	36
53	41	35
54	42	34
55	42	33
56	42	32
57	43	31
58	44	31
59	45	30
60	46	29
61	47	29
62	48	28
63	48	27
64	48	26
65	49	25
66	49	24
67	49	23
68	50	22
69	50	21
70	51	21
71	53	20
72	56	21
73	57	20
74	58	19
75	59	18
76	60	18
77	60	17
78	61	16
79	61	15
80	61	14
81	62	13
82	62	12
83	62	11
84	63	11
85	63	10
86	63	9
87	64	8
88	65	8
89	65	7
90	66	6
91	67	5
92	67	5
93	68	4
94	68	3
95	68	2
96	69	2
97	69	1
98	70	0
99	70	0
